Module	Section	Sample Name	Source
Salmon	all_sections	MargeSimpson	/home/herna/projects/Grupo13Simsom/5_cuantificacion_salmon/MargeSimpson/libParams/flenDist.txt
Salmon	all_sections	SelmaBouvier	/home/herna/projects/Grupo13Simsom/5_cuantificacion_salmon/SelmaBouvier/libParams/flenDist.txt
Salmon	all_sections	MaggieSimpson	/home/herna/projects/Grupo13Simsom/5_cuantificacion_salmon/MaggieSimpson/libParams/flenDist.txt
Salmon	all_sections	PattyBouvier	/home/herna/projects/Grupo13Simsom/5_cuantificacion_salmon/PattyBouvier/libParams/flenDist.txt
Salmon	all_sections	AbrahamSimpson	/home/herna/projects/Grupo13Simsom/5_cuantificacion_salmon/AbrahamSimpson/libParams/flenDist.txt
Salmon	all_sections	HomerSimpson	/home/herna/projects/Grupo13Simsom/5_cuantificacion_salmon/HomerSimpson/libParams/flenDist.txt
Salmon	all_sections	BartSimpson	/home/herna/projects/Grupo13Simsom/5_cuantificacion_salmon/BartSimpson/libParams/flenDist.txt
Salmon	all_sections	LisaSimpson	/home/herna/projects/Grupo13Simsom/5_cuantificacion_salmon/LisaSimpson/libParams/flenDist.txt
FastQC	all_sections	AbrahamSimpson_R1	/home/herna/projects/Grupo13Simsom/1_fastqc/AbrahamSimpson_R1_fastqc.zip
FastQC	all_sections	AbrahamSimpson_R2	/home/herna/projects/Grupo13Simsom/1_fastqc/AbrahamSimpson_R2_fastqc.zip
FastQC	all_sections	BartSimpson_R1	/home/herna/projects/Grupo13Simsom/1_fastqc/BartSimpson_R1_fastqc.zip
FastQC	all_sections	BartSimpson_R2	/home/herna/projects/Grupo13Simsom/1_fastqc/BartSimpson_R2_fastqc.zip
FastQC	all_sections	HomerSimpson_R1	/home/herna/projects/Grupo13Simsom/1_fastqc/HomerSimpson_R1_fastqc.zip
FastQC	all_sections	HomerSimpson_R2	/home/herna/projects/Grupo13Simsom/1_fastqc/HomerSimpson_R2_fastqc.zip
FastQC	all_sections	LisaSimpson_R1	/home/herna/projects/Grupo13Simsom/1_fastqc/LisaSimpson_R1_fastqc.zip
FastQC	all_sections	LisaSimpson_R2	/home/herna/projects/Grupo13Simsom/1_fastqc/LisaSimpson_R2_fastqc.zip
FastQC	all_sections	MaggieSimpson_R1	/home/herna/projects/Grupo13Simsom/1_fastqc/MaggieSimpson_R1_fastqc.zip
FastQC	all_sections	MaggieSimpson_R2	/home/herna/projects/Grupo13Simsom/1_fastqc/MaggieSimpson_R2_fastqc.zip
FastQC	all_sections	MargeSimpson_R1	/home/herna/projects/Grupo13Simsom/1_fastqc/MargeSimpson_R1_fastqc.zip
FastQC	all_sections	MargeSimpson_R2	/home/herna/projects/Grupo13Simsom/1_fastqc/MargeSimpson_R2_fastqc.zip
FastQC	all_sections	PattyBouvier_R1	/home/herna/projects/Grupo13Simsom/1_fastqc/PattyBouvier_R1_fastqc.zip
FastQC	all_sections	PattyBouvier_R2	/home/herna/projects/Grupo13Simsom/1_fastqc/PattyBouvier_R2_fastqc.zip
FastQC	all_sections	SelmaBouvier_R1	/home/herna/projects/Grupo13Simsom/1_fastqc/SelmaBouvier_R1_fastqc.zip
FastQC	all_sections	SelmaBouvier_R2	/home/herna/projects/Grupo13Simsom/1_fastqc/SelmaBouvier_R2_fastqc.zip
