UniqueCount	AmbigCount
0	26
0	20
0	27
0	27
0	23
0	28
0	28
0	28
0	25
0	27
0	28
0	25
0	28
0	28
0	29
0	29
0	26
0	26
0	28
0	28
0	25
0	29
0	29
0	26
0	26
0	26
0	26
0	18
0	18
0	20
0	18
0	26
0	27
0	23
0	28
0	28
0	27
0	28
0	25
0	28
0	28
0	29
0	26
0	26
0	28
0	28
0	25
0	29
0	29
0	26
0	26
0	26
0	18
0	18
0	18
4	28
0	28
32	0
0	30
0	31
0	29
0	30
0	26
0	27
0	26
0	27
0	25
0	26
1	15
0	29
0	25
0	29
0	28
0	23
0	23
0	27
0	26
0	30
0	28
0	29
0	29
0	25
0	26
0	26
0	25
0	14
0	28
0	49
0	48
0	54
0	54
0	49
0	49
0	49
1	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	30
0	30
0	31
0	30
0	30
0	32
0	32
0	32
0	31
0	30
0	30
0	30
0	30
0	25
0	27
0	26
0	25
0	25
0	25
0	25
1	53
0	52
0	53
0	51
0	51
0	53
0	52
0	53
0	51
0	51
1	7
0	50
0	49
0	50
0	49
0	48
0	49
0	50
0	7
0	48
0	29
3	28
0	29
0	56
0	58
0	57
0	56
0	58
0	57
0	56
0	56
0	58
0	57
1	57
0	58
0	57
0	58
0	57
0	56
0	56
0	56
0	57
0	52
0	57
0	55
0	56
0	54
0	52
0	52
0	12
0	12
0	52
0	52
0	52
0	52
0	52
0	52
0	41
0	38
0	39
0	46
0	46
0	43
0	48
0	43
0	46
0	19
0	17
0	44
0	43
0	42
0	41
0	43
0	46
0	46
0	42
0	46
0	44
0	45
0	45
0	45
0	45
0	45
0	39
0	44
0	44
0	45
0	43
0	44
0	44
0	44
0	32
0	16
0	19
0	21
0	22
0	22
0	21
0	21
0	19
0	20
0	21
0	5
0	7
0	12
0	14
0	12
0	12
0	12
0	12
0	12
0	12
0	10
0	12
0	12
0	9
0	7
0	43
0	26
0	41
0	24
0	9
0	10
0	9
0	8
0	7
0	12
0	9
0	7
0	47
0	28
0	45
0	26
0	10
0	9
0	8
0	7
0	40
0	37
0	44
0	44
0	42
0	36
0	37
0	23
0	16
0	16
0	16
0	35
0	39
0	36
0	43
0	42
0	34
0	19
0	15
0	15
0	15
0	41
0	34
22	56
6	47
0	49
0	49
0	47
0	45
0	31
0	51
0	51
0	51
0	49
0	49
0	47
0	47
0	49
0	49
0	49
0	47
0	47
0	47
0	46
0	47
0	45
0	45
0	33
0	31
0	33
0	31
0	31
0	29
0	33
0	31
0	29
0	27
0	45
0	27
0	45
0	29
0	49
0	49
0	49
0	47
0	47
0	46
0	46
0	45
0	45
0	31
0	29
0	31
0	29
0	29
0	27
0	31
0	29
0	27
0	43
0	34
0	54
0	54
0	54
0	54
0	54
0	52
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	53
0	53
0	52
0	52
0	51
0	51
0	54
0	52
0	51
0	51
0	54
0	54
0	51
0	52
0	54
0	52
0	46
0	34
0	34
0	32
0	27
0	51
0	54
0	54
0	43
0	41
0	39
0	54
0	54
0	54
0	54
0	54
0	52
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	53
0	53
0	52
0	52
0	51
0	51
0	54
0	52
0	51
0	51
0	54
0	54
0	51
0	52
0	54
0	52
0	54
0	54
0	43
0	41
0	39
0	73
0	76
0	65
0	51
0	31
0	26
0	29
0	25
0	51
0	49
0	37
0	23
0	18
0	21
0	17
1	75
0	73
0	69
0	11
0	11
1	26
0	11
0	11
0	11
11	38
0	44
0	6
0	44
0	49
1	50
0	46
0	45
0	44
0	44
0	6
0	50
0	41
0	45
0	43
0	46
0	50
0	44
0	48
0	44
0	48
0	42
0	46
0	46
0	8
0	11
0	11
0	8
0	11
1	50
0	46
0	48
0	50
0	48
0	46
0	45
0	50
0	48
0	43
0	50
0	48
0	46
0	45
0	46
0	50
0	48
0	46
0	41
0	44
0	42
0	11
0	11
0	8
0	31
0	31
0	38
0	38
0	40
0	38
0	38
0	37
0	37
0	34
0	37
0	35
0	37
0	35
0	34
0	25
0	31
0	31
0	38
0	38
0	37
0	35
0	37
0	37
0	34
0	34
0	52
0	52
0	53
0	53
0	51
0	51
0	51
0	52
0	52
0	51
0	51
0	21
0	21
0	18
0	31
0	33
0	33
0	30
0	33
0	32
0	30
0	30
0	32
0	29
0	28
0	29
0	18
0	50
0	49
0	49
0	29
0	16
0	29
0	44
0	44
0	24
0	24
0	23
0	48
0	48
0	49
0	49
0	47
0	47
0	47
0	48
0	47
0	20
0	31
0	53
0	52
0	46
0	45
0	45
0	47
0	46
0	46
0	44
0	44
0	43
0	29
0	23
0	29
0	23
0	45
0	45
0	47
0	14
0	45
0	47
0	14
0	49
2	49
0	47
0	49
0	41
0	41
0	42
0	36
0	35
0	41
1	37
0	41
0	36
0	28
0	16
0	41
0	41
0	41
0	36
0	16
2	44
0	43
0	45
0	40
0	42
0	45
0	47
0	42
0	44
0	44
0	44
0	46
0	43
0	46
0	48
0	45
0	44
0	42
0	44
0	44
0	46
0	43
0	45
0	37
0	37
0	48
0	46
0	43
0	38
0	39
0	37
0	25
0	50
0	50
0	52
0	53
0	54
0	43
0	47
0	43
0	59
0	59
0	61
0	61
0	35
0	24
0	22
0	12
0	12
0	45
0	45
0	41
0	58
0	35
0	24
0	22
0	58
0	12
0	44
0	44
0	40
0	31
0	32
0	32
