UniqueCount	AmbigCount
0	27
1	21
0	26
0	24
0	24
0	28
0	26
0	26
0	28
0	27
0	29
0	29
0	26
0	24
0	28
0	26
0	28
0	26
0	27
0	25
0	27
0	29
0	27
0	29
0	27
0	27
0	27
0	18
0	23
0	22
0	23
0	23
0	20
0	20
0	22
0	22
0	23
0	25
0	25
0	22
0	20
0	22
0	24
0	22
0	23
0	21
0	23
0	25
0	23
0	25
0	23
0	23
0	14
0	19
0	19
2	28
2	28
32	0
0	30
0	30
0	29
0	29
0	27
0	27
0	27
0	27
0	26
0	26
0	13
0	29
0	26
0	29
0	29
0	22
0	22
0	27
0	26
0	29
0	28
0	28
0	29
0	26
0	26
0	27
0	26
0	12
0	28
0	28
0	31
0	31
1	31
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	31
0	31
0	31
0	31
0	31
0	32
0	32
0	32
0	31
0	31
0	31
0	31
0	31
0	28
0	29
0	28
0	28
0	28
0	28
0	28
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	31
0	31
0	3
0	30
0	30
0	30
0	30
0	30
0	30
0	28
0	3
0	27
1	30
1	28
0	30
0	55
0	57
0	57
0	55
0	57
0	57
0	55
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	55
0	55
0	51
0	58
0	58
0	54
0	40
0	40
0	40
0	8
0	8
0	40
0	40
0	42
0	42
0	40
0	40
0	50
0	52
0	53
0	50
0	54
0	50
0	52
0	52
0	52
0	16
0	14
0	54
0	52
0	52
0	52
0	54
0	47
0	52
0	53
0	54
0	52
0	53
0	53
0	53
0	53
0	53
0	52
0	54
0	53
0	54
0	52
0	53
0	54
0	54
0	26
0	14
0	14
0	14
0	16
0	16
0	15
0	15
0	14
0	16
0	14
0	6
0	1
0	8
0	8
0	6
0	8
0	8
0	8
0	8
0	8
0	6
0	8
0	8
0	3
0	3
0	50
0	10
0	50
0	10
0	3
0	3
0	3
0	3
0	3
0	7
0	3
0	3
0	46
0	7
0	46
0	7
0	3
0	3
0	3
0	3
0	48
0	50
0	48
0	48
0	48
0	39
0	50
0	16
0	11
0	11
0	11
0	41
0	48
0	50
0	48
0	48
0	39
0	16
0	11
0	11
0	11
0	48
0	41
14	68
12	46
0	61
0	55
0	57
0	55
0	35
0	61
0	57
0	56
0	53
0	52
0	59
0	54
0	59
0	55
0	54
0	55
0	51
0	50
0	53
0	61
0	55
0	54
0	37
0	35
0	37
0	35
0	35
0	31
0	37
0	35
0	31
0	35
0	59
0	35
0	53
0	28
0	53
0	50
0	49
0	46
0	45
0	51
0	47
0	47
0	43
0	30
0	28
0	30
0	28
0	28
0	24
0	30
0	28
0	24
0	51
0	34
0	47
0	47
0	47
0	48
0	47
0	42
0	47
0	47
0	47
0	47
0	47
0	48
0	49
0	49
0	47
0	45
0	45
0	43
0	46
0	44
0	44
0	42
0	45
0	44
0	42
0	40
0	47
0	47
0	44
0	42
0	47
0	44
0	47
0	34
0	34
0	33
0	31
0	44
0	46
0	45
0	33
0	33
0	31
0	47
0	47
0	47
0	48
0	47
0	42
0	47
0	47
0	47
0	47
0	47
0	48
0	49
0	49
0	45
0	45
0	43
0	46
0	44
0	44
0	42
0	45
0	44
0	42
0	40
0	47
0	47
0	44
0	42
0	47
0	44
0	46
0	45
0	33
0	33
0	31
0	67
0	67
0	57
0	57
0	20
0	25
0	13
0	11
0	58
0	49
0	49
0	19
0	24
0	12
0	10
0	49
0	52
0	50
0	46
0	38
14	54
0	46
0	39
0	39
2	11
0	47
0	13
0	49
0	48
0	48
0	49
0	43
0	47
0	41
0	13
0	51
0	52
0	54
0	54
0	52
0	54
0	52
0	54
0	52
0	54
0	52
0	54
0	50
0	13
0	13
0	13
0	13
0	13
1	54
0	53
0	53
0	53
0	53
0	53
0	53
0	53
0	53
0	53
0	53
0	53
0	53
0	53
0	51
0	53
0	53
0	53
0	51
0	51
0	51
0	12
0	12
0	12
0	20
0	20
0	34
0	34
0	34
0	32
0	32
0	32
0	32
0	27
0	32
0	32
0	30
0	30
0	30
0	14
0	18
0	18
0	32
0	32
0	30
0	30
0	32
0	32
0	30
0	25
0	26
0	28
0	22
0	24
0	21
0	23
0	21
0	21
0	23
0	21
0	23
0	16
0	18
0	15
0	32
0	28
0	28
0	27
0	27
0	27
0	27
0	27
0	27
0	27
0	26
0	27
0	15
0	21
0	22
0	25
0	29
0	17
0	27
0	20
0	22
0	26
0	26
0	21
0	26
0	28
0	22
0	24
0	21
0	23
0	21
0	21
0	21
0	16
0	31
0	73
0	72
0	40
0	40
0	39
0	41
0	42
0	40
0	42
0	43
0	42
0	28
0	23
0	26
0	21
0	44
0	44
0	56
0	12
0	43
0	55
0	12
1	65
2	66
0	65
0	66
0	48
0	49
0	48
0	33
0	43
0	48
0	32
0	48
0	32
0	32
0	24
0	48
0	48
0	48
0	32
0	24
0	39
0	40
0	39
0	38
0	37
0	42
0	41
0	40
0	39
0	39
0	40
0	39
0	37
0	42
0	41
0	39
0	39
0	37
0	39
0	40
0	39
0	37
0	39
0	61
0	63
0	73
0	73
0	60
0	59
0	60
0	60
0	36
1	53
0	50
0	46
0	49
0	46
0	55
0	57
0	55
0	54
0	54
0	53
0	53
0	51
0	36
0	34
0	17
0	14
0	34
0	34
0	30
0	52
0	49
0	34
0	32
0	51
0	15
0	34
0	34
0	30
0	32
0	32
0	32
