"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990680","response to melanocyte-stimulating hormone","2/9","3/18870",6.06492644509927e-07,0.00017042443310729,8.61857968514107e-05,"MC4R/POMC",2
"GO:0006112","energy reserve metabolic process","3/9","89/18870",8.3465158658252e-06,0.00117268547914844,0.000593041916782317,"MC4R/LEPR/POMC",3
"GO:0060259","regulation of feeding behavior","2/9","26/18870",6.53305826454282e-05,0.00611929790778844,0.00309460654636239,"MC4R/LEPR",2
"GO:0046850","regulation of bone remodeling","2/9","49/18870",0.000235054669470108,0.0165125905302751,0.00835062641538542,"MC4R/LEPR",2
"GO:0015980","energy derivation by oxidation of organic compounds","3/9","337/18870",0.000437817376612629,0.0182680148700464,0.009238366763275,"MC4R/LEPR/POMC",3
"GO:0050795","regulation of behavior","2/9","74/18870",0.000536536235004242,0.0182680148700464,0.009238366763275,"MC4R/LEPR",2
"GO:0005977","glycogen metabolic process","2/9","76/18870",0.000565853936257482,0.0182680148700464,0.009238366763275,"LEPR/POMC",2
"GO:0044042","glucan metabolic process","2/9","78/18870",0.000595936269458299,0.0182680148700464,0.009238366763275,"LEPR/POMC",2
"GO:0097009","energy homeostasis","2/9","78/18870",0.000595936269458299,0.0182680148700464,0.009238366763275,"MC4R/LEPR",2
"GO:0034103","regulation of tissue remodeling","2/9","85/18870",0.000707229208389699,0.0182680148700464,0.009238366763275,"MC4R/LEPR",2
"GO:0046849","bone remodeling","2/9","89/18870",0.000775005220592154,0.0182680148700464,0.009238366763275,"MC4R/LEPR",2
"GO:0043434","response to peptide hormone","3/9","430/18870",0.000891081432400087,0.0182680148700464,0.009238366763275,"MC4R/POMC/PCSK1",3
"GO:0005976","polysaccharide metabolic process","2/9","102/18870",0.00101614528078148,0.0182680148700464,0.009238366763275,"LEPR/POMC",2
"GO:0007631","feeding behavior","2/9","106/18870",0.0010967290167961,0.0182680148700464,0.009238366763275,"MC4R/LEPR",2
"GO:0031667","response to nutrient levels","3/9","495/18870",0.00133940417677461,0.0182680148700464,0.009238366763275,"MC4R/POMC/PCSK1",3
"GO:0010157","response to chlorate","1/9","3/18870",0.00143023603964776,0.0182680148700464,0.009238366763275,"PCSK1",1
"GO:0035552","oxidative single-stranded DNA demethylation","1/9","3/18870",0.00143023603964776,0.0182680148700464,0.009238366763275,"FTO",1
"GO:0035553","oxidative single-stranded RNA demethylation","1/9","3/18870",0.00143023603964776,0.0182680148700464,0.009238366763275,"FTO",1
"GO:0042245","RNA repair","1/9","3/18870",0.00143023603964776,0.0182680148700464,0.009238366763275,"FTO",1
"GO:0070350","regulation of white fat cell proliferation","1/9","3/18870",0.00143023603964776,0.0182680148700464,0.009238366763275,"FTO",1
"GO:0071596","ubiquitin-dependent protein catabolic process via the N-end rule pathway","1/9","3/18870",0.00143023603964776,0.0182680148700464,0.009238366763275,"UBR2",1
"GO:2000852","regulation of corticosterone secretion","1/9","3/18870",0.00143023603964776,0.0182680148700464,0.009238366763275,"POMC",1
"GO:0070343","white fat cell proliferation","1/9","4/18870",0.00190657715777154,0.0223228408889084,0.0112889436973315,"FTO",1
"GO:2000821","regulation of grooming behavior","1/9","4/18870",0.00190657715777154,0.0223228408889084,0.0112889436973315,"MC4R",1
"GO:0035513","oxidative RNA demethylation","1/9","5/18870",0.00238271628665832,0.0257516644827303,0.0130229432671608,"FTO",1
"GO:0035934","corticosterone secretion","1/9","5/18870",0.00238271628665832,0.0257516644827303,0.0130229432671608,"POMC",1
"GO:1990845","adaptive thermogenesis","2/9","168/18870",0.00272246126557689,0.0283337635417447,0.0143287435030363,"MC4R/LEPR",2
"GO:2000252","negative regulation of feeding behavior","1/9","6/18870",0.00285865350125825,0.0286886297804845,0.0145082038597693,"MC4R",1
"GO:0001659","temperature homeostasis","2/9","183/18870",0.00321991678363802,0.0298084912731053,0.0150745320167417,"FTO/LEPR",2
"GO:0048771","tissue remodeling","2/9","184/18870",0.00325449411174728,0.0298084912731053,0.0150745320167417,"MC4R/LEPR",2
"GO:1903998","regulation of eating behavior","1/9","7/18870",0.00333438887649629,0.0298084912731053,0.0150745320167417,"MC4R",1
"GO:0006109","regulation of carbohydrate metabolic process","2/9","188/18870",0.00339456128376999,0.0298084912731053,0.0150745320167417,"LEPR/POMC",2
"GO:0030070","insulin processing","1/9","8/18870",0.00380992248727441,0.0324420672401245,0.0164063647777367,"PCSK1",1
"GO:0006307","DNA dealkylation involved in DNA repair","1/9","9/18870",0.00428525440847094,0.0354163673170687,0.0179105060415968,"FTO",1
"GO:0033210","leptin-mediated signaling pathway","1/9","10/18870",0.00476038471494122,0.0361531920242833,0.0182831276391768,"LEPR",1
"GO:0070344","regulation of fat cell proliferation","1/9","10/18870",0.00476038471494122,0.0361531920242833,0.0182831276391768,"FTO",1
"GO:2000849","regulation of glucocorticoid secretion","1/9","10/18870",0.00476038471494122,0.0361531920242833,0.0182831276391768,"POMC",1
"GO:0035933","glucocorticoid secretion","1/9","12/18870",0.00571004078299642,0.040415424210757,0.0204385925021622,"POMC",1
"GO:0071233","cellular response to leucine","1/9","12/18870",0.00571004078299642,0.040415424210757,0.0204385925021622,"UBR2",1
"GO:0042593","glucose homeostasis","2/9","251/18870",0.00596509881704235,0.040415424210757,0.0204385925021622,"LEPR/POMC",2
"GO:0033500","carbohydrate homeostasis","2/9","252/18870",0.00601132936594628,0.040415424210757,0.0204385925021622,"LEPR/POMC",2
"GO:0002024","diet induced thermogenesis","1/9","13/18870",0.00618456669417278,0.040415424210757,0.0204385925021622,"MC4R",1
"GO:0048521","negative regulation of behavior","1/9","13/18870",0.00618456669417278,0.040415424210757,0.0204385925021622,"MC4R",1
"GO:0070341","fat cell proliferation","1/9","14/18870",0.00665889128980068,0.0415810767207554,0.0210280777572653,"FTO",1
"GO:0070989","oxidative demethylation","1/9","14/18870",0.00665889128980068,0.0415810767207554,0.0210280777572653,"FTO",1
"GO:0043201","response to leucine","1/9","15/18870",0.00713301464461558,0.0417578565653537,0.0211174775662961,"UBR2",1
"GO:0043950","positive regulation of cAMP-mediated signaling","1/9","15/18870",0.00713301464461558,0.0417578565653537,0.0211174775662961,"POMC",1
"GO:0044065","regulation of respiratory system process","1/9","15/18870",0.00713301464461558,0.0417578565653537,0.0211174775662961,"FTO",1
"GO:1901142","insulin metabolic process","1/9","16/18870",0.00760693683332903,0.0427509850033091,0.0216197152105141,"PCSK1",1
"GO:2000846","regulation of corticosteroid hormone secretion","1/9","16/18870",0.00760693683332903,0.0427509850033091,0.0216197152105141,"POMC",1
"GO:0044320","cellular response to leptin stimulus","1/9","17/18870",0.00808065793062906,0.0445228407550347,0.0225157651317838,"LEPR",1
"GO:0007625","grooming behavior","1/9","18/18870",0.00855417801118041,0.0452986910543529,0.0229081224661459,"MC4R",1
"GO:0045780","positive regulation of bone resorption","1/9","18/18870",0.00855417801118041,0.0452986910543529,0.0229081224661459,"MC4R",1
"GO:0046879","hormone secretion","2/9","308/18870",0.00886248670678542,0.0452986910543529,0.0229081224661459,"MC4R/POMC",2
"GO:0035930","corticosteroid hormone secretion","1/9","19/18870",0.00902749714962192,0.0452986910543529,0.0229081224661459,"POMC",1
"GO:0045721","negative regulation of gluconeogenesis","1/9","19/18870",0.00902749714962192,0.0452986910543529,0.0229081224661459,"LEPR",1
"GO:0009914","hormone transport","2/9","319/18870",0.00948199212492473,0.0460288436755224,0.0232773699052089,"MC4R/POMC",2
"GO:0032098","regulation of appetite","1/9","20/18870",0.00950061542057046,0.0460288436755224,0.0232773699052089,"POMC",1
"GO:0044321","response to leptin","1/9","21/18870",0.00997353289861902,0.0475010634663041,0.0240218901215623,"LEPR",1
"GO:2000831","regulation of steroid hormone secretion","1/9","22/18870",0.0104462496583363,0.0489232692332083,0.0247411176118491,"POMC",1
"GO:0043576","regulation of respiratory gaseous exchange","1/9","24/18870",0.0113910813209347,0.0524736696915188,0.0265366001436787,"FTO",1
"GO:0090335","regulation of brown fat cell differentiation","1/9","25/18870",0.0118631963728347,0.0537122075604229,0.0271629444489871,"FTO",1
"GO:0060391","positive regulation of SMAD protein signal transduction","1/9","26/18870",0.0123351110044425,0.0537122075604229,0.0271629444489871,"SH2B1",1
"GO:0009306","protein secretion","2/9","368/18870",0.0124714548252607,0.0537122075604229,0.0271629444489871,"MC4R/PCSK1",2
"GO:0035592","establishment of protein localization to extracellular region","2/9","369/18870",0.0125363086044832,0.0537122075604229,0.0271629444489871,"MC4R/PCSK1",2
"GO:0007141","male meiosis I","1/9","27/18870",0.0128068252902076,0.0537122075604229,0.0271629444489871,"UBR2",1
"GO:0035929","steroid hormone secretion","1/9","27/18870",0.0128068252902076,0.0537122075604229,0.0271629444489871,"POMC",1
"GO:0071692","protein localization to extracellular region","2/9","377/18870",0.0130605869412872,0.0539709548603191,0.0272937962395321,"MC4R/PCSK1",2
"GO:0016540","protein autoprocessing","1/9","28/18870",0.0132783393045571,0.0540755557185588,0.0273466942199117,"PCSK1",1
"GO:0043949","regulation of cAMP-mediated signaling","1/9","29/18870",0.0137496531218941,0.0551950361036036,0.0279128296459505,"POMC",1
"GO:0045948","positive regulation of translational initiation","1/9","30/18870",0.0142207668165971,0.0562821897952647,0.0284626170532337,"UHMK1",1
"GO:0098868","bone growth","1/9","32/18870",0.0151623941355017,0.0591754548899441,0.0299257778990165,"LEPR",1
"GO:0080111","DNA demethylation","1/9","33/18870",0.015632907908342,0.0601759879759468,0.0304317601676449,"FTO",1
"GO:0010526","retrotransposon silencing","1/9","34/18870",0.0161032218558298,0.0602901733019373,0.0304895051348999,"UBR2",1
"GO:0046825","regulation of protein export from nucleus","1/9","34/18870",0.0161032218558298,0.0602901733019373,0.0304895051348999,"UHMK1",1
"GO:0002021","response to dietary excess","1/9","35/18870",0.0165733360522248,0.0602901733019373,0.0304895051348999,"MC4R",1
"GO:0016486","peptide hormone processing","1/9","36/18870",0.0170432505717653,0.0602901733019373,0.0304895051348999,"PCSK1",1
"GO:0032197","retrotransposition","1/9","36/18870",0.0170432505717653,0.0602901733019373,0.0304895051348999,"UBR2",1
"GO:0042755","eating behavior","1/9","37/18870",0.0175129654886628,0.0602901733019373,0.0304895051348999,"MC4R",1
"GO:0000280","nuclear division","2/9","441/18870",0.0175965315556225,0.0602901733019373,0.0304895051348999,"SH2B1/UBR2",2
"GO:0032196","transposition","1/9","38/18870",0.0179824808771083,0.0602901733019373,0.0304895051348999,"UBR2",1
"GO:0035510","DNA dealkylation","1/9","38/18870",0.0179824808771083,0.0602901733019373,0.0304895051348999,"FTO",1
"GO:0070873","regulation of glycogen metabolic process","1/9","38/18870",0.0179824808771083,0.0602901733019373,0.0304895051348999,"POMC",1
"GO:0003016","respiratory system process","1/9","39/18870",0.0184517968112691,0.0602901733019373,0.0304895051348999,"FTO",1
"GO:0044060","regulation of endocrine process","1/9","39/18870",0.0184517968112691,0.0602901733019373,0.0304895051348999,"POMC",1
"GO:0140448","signaling receptor ligand precursor processing","1/9","39/18870",0.0184517968112691,0.0602901733019373,0.0304895051348999,"PCSK1",1
"GO:0021983","pituitary gland development","1/9","42/18870",0.0198585486293437,0.0634119564186997,0.032068230442122,"PCSK1",1
"GO:0045124","regulation of bone resorption","1/9","42/18870",0.0198585486293437,0.0634119564186997,0.032068230442122,"MC4R",1
