"","AbrahamSimpson","HomerSimpson","MargeSimpson","PattyBouvier","SelmaBouvier"
"ADCY3",15077.560809,16861.587323,14772.66092,14013.410888,13834.896042
"AGRP",203440.816057,212149.54135,162256.152298,191131.765252,207808.291815
"ANKRD27",15250.717062,16224.868208,16677.737279,16110.308154,16092.945353
"ANO4",19249.716759,18309.953442,17175.092417,16186.781845,16281.421021
"BDNF",17396.574128,17499.30634,17165.207413,17722.145342,19031.308794
"CADM1",7748.816757,8127.295196,8433.810698,8079.123532,8110.587181
"CADM2",6917.662428,7622.759588,7724.244341,7421.714698,7453.65508
"CALCR",19170.477325,20277.492678,20939.416265,20278.657287,19514.9027
"CNR1",20431.082944,20684.291462,19129.419612,17506.179375,18770.285953
"CREBRF",11212.531181,5426.59957,11680.209905,12128.113715,8669.194824
"DPP9",25154.2372,25098.508095,20735.082935,20593.796972,25899.131208
"FTO",1904.251383,2027.854449,11724.527957,14092.898257,21055.881114
"GIPR",50167.028793,24860.639,22584.215374,31046.571867,21688.57358
"GPR151",42621.224474,43786.462417,47862.885872,45203.21773,51021.225117
"GPR75",33513.076944,51862.098207,45615.162954,37674.554282,37256.846393
"KIAA0586",8472.458172,9308.079999,8125.507667,7155.412338,7056.969848
"KIAA1109",3917.806244,2432.132502,3222.073924,3508.561864,4483.44982
"KSR2",4667.007158,10999.890733,19138.542366,6482.135743,8762.879822
"LEP",10229.583571,21465.621927,22063.966587,16025.74989,22158.880096
"LEPR",41790.546823,22901.344039,6775.598304,1935.992128,1838.853215
"MC4R",11989.217124,9281.509067,88693.435196,104916.997498,86923.605272
"MRAP2",48471.061309,38808.401826,42126.062914,25216.839113,29507.730079
"NRP1",9149.289361,13512.617416,9736.697566,12763.404429,13185.582658
"NRP2",13099.283914,11116.72533,17090.257654,19216.73875,19087.735188
"NTRK2",5418.147859,5527.369095,5410.176293,4469.54883,5312.667976
"PCSK1",25770.735323,31022.190858,19690.428354,17606.836533,20483.714435
"PDE3B",22292.521522,15498.305116,24611.135221,23249.795749,22092.122103
"PHIP",2885.735746,3631.431464,4056.295453,4327.761822,5785.2401
"POMC",155833.470342,143794.238521,84490.738794,102379.796836,77634.878702
"PPARG",35509.827124,51854.667867,56253.65773,48339.525241,50343.671333
"ROBO1",8100.322751,6554.293797,6064.271165,6567.009483,6427.792953
"SH2B1",39724.358031,44927.741532,19571.749972,23799.442452,30501.027669
"SIM1",4784.382857,5128.597862,15976.493613,12291.590017,14203.092234
"SPARC",28913.416962,26976.034463,28769.757289,27277.943944,26113.618813
"TMEM18",7074.200574,8713.302939,2844.337483,5621.365864,6723.91291
"UBR2",14600.564643,17415.259246,66216.68629,52927.584512,45442.074389
"UHMK1",8050.288343,8310.987075,4596.303926,4730.727768,3441.354212
