"","AbrahamSimpson","BartSimpson","HomerSimpson","LisaSimpson","MaggieSimpson","MargeSimpson","PattyBouvier","SelmaBouvier"
"ADCY3",15077.560809,14385.99319,16861.587323,15477.747248,12882.054895,14772.66092,14013.410888,13834.896042
"AGRP",203440.816057,216042.797996,212149.54135,218779.107564,196756.956534,162256.152298,191131.765252,207808.291815
"ANKRD27",15250.717062,16439.459483,16224.868208,17131.466508,15365.985889,16677.737279,16110.308154,16092.945353
"ANO4",19249.716759,17088.918289,18309.953442,17303.043639,14535.060346,17175.092417,16186.781845,16281.421021
"BDNF",17396.574128,32296.807579,17499.30634,33293.821806,29891.565581,17165.207413,17722.145342,19031.308794
"CADM1",7748.816757,8258.169918,8127.295196,8728.59358,7782.123236,8433.810698,8079.123532,8110.587181
"CADM2",6917.662428,13539.869603,7622.759588,13836.111604,12622.47956,7724.244341,7421.714698,7453.65508
"CALCR",19170.477325,20216.228133,20277.492678,21184.992714,18914.329359,20939.416265,20278.657287,19514.9027
"CNR1",20431.082944,20538.172999,20684.291462,17866.906826,19640.040788,19129.419612,17506.179375,18770.285953
"CREBRF",11212.531181,7622.877902,5426.59957,9151.331816,6425.384256,11680.209905,12128.113715,8669.194824
"DPP9",25154.2372,21873.662599,25098.508095,23715.657435,26783.213346,20735.082935,20593.796972,25899.131208
"FTO",1904.251383,2351.119842,2027.854449,4053.132577,836.178881,11724.527957,14092.898257,21055.881114
"GIPR",50167.028793,27091.765059,24860.639,29963.360081,56721.205012,22584.215374,31046.571867,21688.57358
"GPR151",42621.224474,45464.908427,43786.462417,40086.629007,38472.509328,47862.885872,45203.21773,51021.225117
"GPR75",33513.076944,43936.295786,51862.098207,52029.930836,45614.865872,45615.162954,37674.554282,37256.846393
"KIAA0586",8472.458172,7218.972056,9308.079999,6889.946849,7606.586617,8125.507667,7155.412338,7056.969848
"KIAA1109",3917.806244,3080.830747,2432.132502,3522.531861,2419.109454,3222.073924,3508.561864,4483.44982
"KSR2",4667.007158,18315.847747,10999.890733,6183.454326,6974.019005,19138.542366,6482.135743,8762.879822
"LEP",10229.583571,43302.031371,21465.621927,47443.920739,36042.672554,22063.966587,16025.74989,22158.880096
"LEPR",41790.546823,3394.815123,22901.344039,6276.442509,6423.419454,6775.598304,1935.992128,1838.853215
"MC4R",11989.217124,46347.899658,9281.509067,26518.99859,42418.855492,88693.435196,104916.997498,86923.605272
"MRAP2",48471.061309,38701.522546,38808.401826,39249.760322,109479.841494,42126.062914,25216.839113,29507.730079
"NRP1",9149.289361,10357.203901,13512.617416,8565.094457,8799.807336,9736.697566,12763.404429,13185.582658
"NRP2",13099.283914,17422.779176,11116.72533,16909.243128,10931.81322,17090.257654,19216.73875,19087.735188
"NTRK2",5418.147859,12672.807628,5527.369095,14866.83224,11214.358163,5410.176293,4469.54883,5312.667976
"PCSK1",25770.735323,17539.304146,31022.190858,15274.975354,17297.019017,19690.428354,17606.836533,20483.714435
"PDE3B",22292.521522,21186.499313,15498.305116,23043.034953,13775.47986,24611.135221,23249.795749,22092.122103
"PHIP",2885.735746,2962.850538,3631.431464,5219.147164,3329.276575,4056.295453,4327.761822,5785.2401
"POMC",155833.470342,99159.268543,143794.238521,104310.023286,87703.7842,84490.738794,102379.796836,77634.878702
"PPARG",35509.827124,50276.957193,51854.667867,40041.062755,47947.554111,56253.65773,48339.525241,50343.671333
"ROBO1",8100.322751,7909.267377,6554.293797,9749.97845,9279.38767,6064.271165,6567.009483,6427.792953
"SH2B1",39724.358031,27092.870437,44927.741532,27648.626753,13215.526769,19571.749972,23799.442452,30501.027669
"SIM1",4784.382857,4838.066367,5128.597862,6478.014243,7051.415005,15976.493613,12291.590017,14203.092234
"SPARC",28913.416962,29761.206492,26976.034463,27130.003865,24596.755419,28769.757289,27277.943944,26113.618813
"TMEM18",7074.200574,6905.381307,8713.302939,9963.859555,8002.414509,2844.337483,5621.365864,6723.91291
"UBR2",14600.564643,15962.295646,17415.259246,23323.211291,14112.849738,66216.68629,52927.584512,45442.074389
"UHMK1",8050.288343,8444.275885,8310.987075,8790.004069,8134.101459,4596.303926,4730.727768,3441.354212
