"","AbrahamSimpson","BartSimpson","HomerSimpson","LisaSimpson","MaggieSimpson","MargeSimpson","PattyBouvier","SelmaBouvier"
"ADCY3",32,32,32,32,32,32,32,32
"AGRP",32,32,32,32,32,32,32,32
"ANKRD27",32,32,32,32,32,32,32,32
"ANO4",32,32,32,32,32,32,32,32
"BDNF",32,56,32,56,56,32,32,32
"CADM1",32,32,32,32,32,32,32,32
"CADM2",32,56,32,56,56,32,32,32
"CALCR",32,32,32,32,32,32,32,32
"CNR1",53,53,55,49,55,49,50,49
"CREBRF",23,26,19,30,23,32,29,30
"DPP9",45,42,45,40,48,37,39,36
"FTO",16,17,19,16,6,44,44,51
"GIPR",36,35,35,43,44,34,37,27
"GPR151",60,60,58,50,54,62,60,68
"GPR75",31,38,46,43,43,39,33,33
"KIAA0586",30,27,35,24,29,22,28,17
"KIAA1109",27,22,15,24,19,22,24,29
"KSR2",41,47,41,48,46,47,50,56
"LEP",16,64,32,68,57,32,24,34
"LEPR",69,12,58,16,16,16,7,6
"MC4R",9,32,7,18,32,61,73,62
"MRAP2",45,35,35,32,40,36,24,30
"NRP1",24,26,34,27,24,24,32,30
"NRP2",40,33,33,32,34,39,38,37
"NTRK2",20,47,21,56,47,19,18,19
"PCSK1",59,40,67,33,42,41,41,48
"PDE3B",43,34,24,34,33,37,31,27
"PHIP",17,23,28,29,24,22,24,33
"POMC",70,44,63,44,41,37,44,35
"PPARG",26,32,38,20,31,40,31,36
"ROBO1",27,24,20,31,30,17,20,21
"SH2B1",67,41,69,37,31,35,45,34
"SIM1",19,18,20,24,29,59,46,55
"SPARC",46,45,41,39,39,42,41,40
"TMEM18",23,19,24,28,25,8,17,20
"UBR2",48,56,51,50,50,100,95,96
"UHMK1",32,32,32,32,32,17,18,13
