"","AbrahamSimpson","BartSimpson","HomerSimpson","LisaSimpson","MaggieSimpson","MargeSimpson","PattyBouvier","SelmaBouvier"
"ADCY3",4254.32854046414,4844.61246993923,4056.235492791,4681.78039703728,5047.2193801983,4770.46501388835,4809.87188149454,4915.52159647258
"AGRP",315.3,322.596,322.388214165453,331.217611734446,330.451289003816,434.328,352.65069037516,327.252456945682
"ANKRD27",4206.025,4239.468,4215.416,4229.843,4231.33,4225.541,4183.825,4225.81
"ANO4",3332.25143912477,4078.34839904191,3735.37644485813,4187.89984024409,4473.22237001177,4103.17808503147,4164.05871306942,4176.89151591451
"BDNF",3687.21429279815,3776.39445134628,3908.416,3808.8440180329,3806.50770901737,4105.541,3803.30416879199,3573.36056089885
"CADM1",8278.025,8439.468,8415.416,8301.843,8354.86091022227,8355.94521557349,8342.825,8384.81
"CADM2",9272.62636542673,9007.87708603653,8972.416,9165.21760209214,9014.27287826694,9123.541,9081.825,9123.81
"CALCR",3346.025,3447.45630683551,3372.93025500295,3420.50690089772,3437.52906959906,3365.541,3323.825,3484.81
"CNR1",5240.85469070046,5645.83017714465,5661.68750191344,6155.843,5653.85385787973,5685.61561385389,5985.68399333475,5603.98321302617
"CREBRF",4159.92203956499,7385.468,7361.416,7375.843,7377.33,5957.79885404804,5067.6193119144,7371.81
"DPP9",3602.85807989856,4215.468,3864.416,3815.24912905859,3624.78965955126,3965.26691850451,3990.825,2980.22227893099
"FTO",16948.3123082293,15301.6477841992,19575.5922530108,8760.19337359796,14158.7877770914,8356.57131722576,6524.47923779217,5118.80365167141
"GIPR",1453.92009457094,2804.07826880637,2985.416,3256.46476509442,1583.94680205501,3310.541,2504.755263713,2652.75799684747
"GPR151",2821.025,2854.468,2830.416,2844.843,2846.33,2840.541,2798.825,2840.81
"GPR75",1868.025,1901.468,1877.416,1891.843,1893.33,1887.541,1845.825,1887.81
"KIAA0586",7040.69569232998,8050.468,7943.416,7869.89722782558,7850.33,5832.23043916535,8111.825,4975.46891210083
"KIAA1109",13990.3373057384,15359.4843965583,13152.1107761327,15365.843,16121.33,15361.541,14493.6148401725,13901.81
"KSR2",17449.025,5537.51309486399,7930.37351045866,17566.8431694053,13328.4446627971,5455.88896980494,16096.612352489,13603.1720866159
"LEP",3198.025,3234.468,3207.416,3222.67419035889,3226.33,3217.541,3175.825,3217.81
"LEPR",3305.47698065115,8018.468,5412.31316983907,5792.67252925651,5133.23984862282,5117.51165444038,7962.825,6915.28640190792
"MC4R",1488.025,1521.468,1497.416,1511.843,1513.33,1507.541,1465.825,1507.81
"MRAP2",1844.50585504224,1989.2958262611,1920.416,1823.79811274409,736.017611056764,1887.12905195782,2008.44186102906,2174.81
"NRP1",5260.30649882787,5435.33603863001,5453.32563419792,7063.7105172844,5536.86771293886,5528.06116559554,5319.825,4860.81
"NRP2",6159.07773091373,4137.37389770625,6422.68353938113,4298.515652954,6408.89678375767,5011.05729774346,4211.77854429612,4119.65278428161
"NTRK2",7478.3307172881,8133.50769233076,8177.6233496192,8514.05246967987,8506.18370750504,7629.48223727347,8567.40406828193,7657.61930476202
"PCSK1",4602.025,4943.4656098322,4611.416,4933.843,4935.33,4621.541,4887.825,4929.81
"PDE3B",3855.69980126872,3525.80789142041,3310.416,3321.843,4808.58461622068,3327.63341401149,2818.65206241941,2592.28582802489
"PHIP",11698.025,16712.9376350009,16688.416,12372.0270730012,14524.0855859023,11719.541,11674.825,11999.5607614562
"POMC",902.025,965.468,935.537480952823,964.868673119626,957.33,971.541,909.825,951.81
"PPARG",1471.85210931015,1396.39927091487,1585.33702905043,1120.843,1325.74914941862,1575.541,1363.27636575821,1540.11780455222
"ROBO1",6612.507665652,6659.468,6527.416,7281.843,6607.59480540014,6310.541,6285.825,6833.01621508622
"SH2B1",3402.0660594731,3256.85274140967,3262.65411076148,3054.03764294715,4707.33,3927.83942779702,3943.81671728084,2368.19226073936
"SIM1",7955.025,7988.468,8211.416,8225.843,8227.33,8102.63168116729,7932.825,8221.81
"SPARC",3222.025,3257.08657776596,3232.416,3248.843,3248.32999769283,3241.541,3201.60411813712,3241.81
"TMEM18",6442.025,6004.468,5980.416,6465.843,6467.33,6461.541,6419.825,6461.81
"UBR2",6596.55003837115,7698.468,6276.45890603249,4877.85004926693,7223.30486709774,3329.10362751333,3775.16404700136,4497.79780742958
"UHMK1",7968.025,8253.468,8229.416,8243.843,7993.33,7987.541,8197.825,7987.81
